"","NAME10","area"
"0","220.06",15164349.5400085
"1","323.20",103253897.403076
"2","317.03",83780323.4675293
"3","312.06",40145902.5227814
"4","321.02",851689306.642456
"5","322.10",450119325.261185
"6","322.11",32028437.5524597
"7","321.04",241988589.356171
"8","323.13",145616739.793427
"9","322.03",149102713.145416
"10","327.03",112964581.464294
"11","327.04",189530884.506516
"12","273",38293395.5635223
"13","272",36676052.1129761
"14","271",16872008.7966766
"15","270",21431447.6883087
"16","268.02",22107521.0770264
"17","268.01",16623725.9668427
"18","267",37718013.1748199
"19","266",12490320.0601044
"20","8",12287105.3771057
"21","7",13934786.9892883
"22","6",41308538.9593811
"23","5",41065333.2971191
"24","4.02",19362177.5570068
"25","4.01",14678468.5136719
"26","3",13028881.9811707
"27","2",35371076.9406128
"28","1",36561633.6280212
"30","325",2579109750.41129
"31","319.07",2344329388.59647
"32","318",59605876.8943787
"33","320.02",303271495.88475
"34","320.03",299040272.24971
"35","317.04",1318275834.22151
"36","320.05",61974258.7813873
"37","320.06",69122814.6849213
"38","322.07",83290523.822525
"39","218.03",60580349.0800476
"40","326.02",35306336.4620972
"41","327.02",331808238.24646
"42","328",5634483895.82858
"43","265",15258328803.199
"44","264",21478353.6116638
"45","263",54674384.7572174
"46","262",56151409.5346985
"47","261",169727251.987152
"48","260.01",46423071.4109039
"49","215",29578375.6707611
"50","214",41956627.9334717
"51","213",36558919.6121521
"52","17.02",32301430.2759399
"53","43.02",13779304.9390564
"54","43.01",3559582.1913147
"55","74.02",10541115.661377
"56","100.02",2683149.47668457
"57","100.01",10206589.7123108
"58","110.02",24909082.016571
"59","104.02",18041143.7862701
"60","107.02",19362682.3803253
"61","114.02",8446414.30485535
"62","226.05",12767838.2593994
"63","229.02",50881249.0809326
"64","246.02",55065576.07547
"65","258.03",58529455.4237976
"66","316.01",14461372.8152313
"67","316.03",162420258.36058
"68","321.03",619284210.376801
"69","250.01",43608946.0601807
"70","324.01",38318950.0054474
"71","324.02",613585335.963562
"72","315.01",277381441.498688
"73","211",1759407141.49188
"74","210",28196255.8270874
"75","209",28249076.5041504
"76","208",58346003.5419617
"77","207",40949786.5210571
"78","206",18417633.6885071
"79","205",21254089.4916077
"80","114.01",29297468.2833252
"81","253.02",13273356.6325226
"82","258.06",68862318.2850952
"83","277.01",33205412.8479614
"84","323.26",580541982.198746
"85","323.27",112587003.079163
"86","234.04",174734291.168274
"87","234.03",39437507.7177429
"88","238.04",56843425.9577332
"89","232.01",13141671.2476501
"90","239",17111612.1813965
"91","323.22",95499138.9970703
"92","323.21",49779964.2879944
"93","218.04",136379382.054504
"94","221.01",33018479.0827332
"95","250.03",56445389.7449951
"96","227.01",68375406.0080566
"97","320.08",22840620.1609802
"98","322.08",26390439.4403992
"99","204.02",132646035.809235
"100","204.01",29985900.2142029
"101","203",24897003.4325867
"102","202",28010653.2189026
"103","201",27898019.0721741
"104","121",26448951.2577209
"105","238.03",33591774.2546387
"106","250.06",6070180.04916382
"107","250.05",241039630.653091
"108","256.02",82717497.3252106
"109","292.06",56025811.0992126
"110","291.02",187588558.644852
"111","291.01",27802416.3266907
"112","300.06",37889433.0862732
"113","303.14",23128549.2845459
"114","303.13",26954069.3125305
"115","316.05",43083855.6969452
"116","241",182517386.383148
"117","227.03",65560398.7695312
"118","242",45288972.847229
"119","222.03",159689790.651306
"120","248",41169859.3147888
"121","249.02",40640065.322052
"122","249.03",21850022.4567566
"123","251.02",53426461.1652069
"124","319.03",67082331.3587189
"125","319.04",126334425.567688
"126","319.06",205707319.254837
"127","313.01",122105769.498535
"128","311",358948074.420975
"129","310",80091831.9612274
"130","309.02",137341955.78434
"131","309.01",42568786.8406982
"132","308.02",33602805.2747421
"133","308.01",14778802.5358505
"134","120",75457064.9145355
"135","119",15580748.255127
"136","109",48390749.1930542
"137","108",54493041.9346619
"138","106",47621926.271225
"139","105",36719656.4552612
"140","103",18491110.0657959
"141","316.04",17870272.7267151
"142","320.11",44759234.0697327
"143","317.06",39255140.4466858
"144","322.15",44970599.7467194
"145","323.29",172417580.174316
"146","323.28",104072814.978119
"147","17.01",91535420.6878052
"148","74.01",9609055.67947388
"149","323.17",2791881.01556396
"150","323.15",47294107.2719116
"151","323.19",493523819.04071
"152","219.06",73345121.1888123
"153","219.05",41121746.571106
"154","323.07",28881211.0826721
"155","323.11",128091584.613983
"156","323.24",253739179.903046
"157","228.01",22047419.7672729
"158","307",52366554.704895
"159","306",16831473.223877
"160","305.04",36911896.4516602
"161","305.03",16868129.3959503
"162","305.01",35800478.0641479
"163","304.04",122620222.066162
"164","102",66803374.6844788
"165","101",44995003.1872101
"166","99",43533662.9281769
"167","98",95288674.1521606
"168","97.02",20780596.3193665
"169","97.01",23885142.6916046
"170","96",37333299.2697906
"171","104.01",35421408.2726746
"172","107.01",17403381.7144318
"173","110.01",15676831.1690369
"174","253.01",11525460.7072449
"175","256.01",62985152.2781372
"176","258.05",31151894.1700745
"177","228.03",26132454.4938049
"178","232.02",51370094.1783142
"179","312.05",15829384.6290588
"180","315.02",63453925.7377472
"181","220.05",11144107843.6237
"182","218.02",26048149.2262573
"183","219.04",52783121.3264465
"184","304.03",36643617.5168762
"185","304.01",41551435.2102737
"186","303.12",134420889.162537
"187","303.11",19971375.9630432
"188","303.10",20500881.3180084
"189","95",34506601.8416748
"190","94",59255866.9856262
"191","93",18546353.3764954
"192","92",109240069.1474
"193","91",5220685.68539429
"194","90",4508101.93411255
"195","89",8833945.05075073
"196","88",31391713.7017822
"197","292.05",10210026.1278381
"198","300.05",20550597.9432373
"199","317.05",23404688.0430145
"200","320.10",54404921.7550049
"201","322.13",51893685.535675
"202","322.14",47620046.269928
"203","223",72417230.3362122
"204","224",96092279.5241089
"205","229.01",90442530.7218628
"206","226.06",15973516.594574
"207","227.02",29971477.9888
"208","230",26373762.7219849
"209","303.09",62374724.9291077
"210","303.08",23913603.0950317
"211","303.06",23188007.3359985
"212","303.05",46366322.9007263
"213","87",51874335.5419464
"214","118",7883049.93890381
"215","117",49193972.2053528
"216","116",37738842.3149719
"217","115",43928030.4452667
"218","113",16558662.8017426
"219","112",34441586.4076843
"220","111.02",32217957.0904999
"221","322.12",31585818.5005188
"222","231",36754872.3369141
"223","236.03",55938664.2973938
"224","233",21830300.8052063
"225","234.01",41314778.3201904
"226","235",40257794.2320557
"227","303.04",24466909.6496887
"228","302.02",79219770.7037811
"229","302.01",35222147.4854889
"230","301",30911140.5220337
"231","300.04",84222781.68396
"232","300.03",21939700.8890839
"233","111.01",60106903.6517181
"234","86",12382190.3237305
"235","85",7656691.45111084
"236","84",5104194.18258667
"237","83",4118272.10964966
"238","82",2555784.96456909
"239","81",3947045.95593262
"240","80.02",12880363.042511
"241","80.01",2465483.21121216
"242","79",11191405.996582
"243","78",7517978.34020996
"244","77",57332586.4631348
"245","236.01",11391211.0664673
"246","246.01",49539548.424469
"247","236.04",71886901.2247925
"248","237",31647001.3308105
"249","299.02",81252307.4580383
"250","299.01",67835740.184906
"251","298.02",43765189.8921509
"252","298.01",75685186.8923187
"253","297",86822063.368103
"254","296.02",121315426.953827
"255","296.01",72224415.5757294
"256","295.04",43286116.4619751
"257","76",20273674.7870636
"258","75",6155375.92712402
"259","73",8629527.40475464
"260","72",9967417.86761475
"261","71",10873995.9298706
"262","70",9279068.29376221
"263","69",8674851.40231323
"264","68",9718139.4810791
"265","67",7729236.40063477
"266","66",14860095.439209
"267","65",20885231.2650146
"268","238.01",12352245.2643738
"269","240",40077289.9977112
"270","247.01",52836154.4130554
"271","249.01",29483810.3135071
"272","247.02",34268682.5448914
"273","217",77396316.5769043
"274","220.01",60983276.4719238
"275","295.03",47299789.2235718
"276","295.02",25433517.0915833
"277","294.08",46784752.9421082
"278","294.07",13328304.5467072
"279","294.06",14645010.0802155
"280","294.05",29168763.4135132
"281","64",26826074.3341522
"282","63",9726354.50180054
"283","62",62396328.5877991
"284","61",32467883.453064
"285","60",20296403.4830933
"286","58.01",16139756.2850342
"287","57",22403007.7185059
"288","260.02",79682666.9098816
"289","258.04",29804493.9999237
"290","319.09",25385357.2654877
"291","319.08",20624680.4621582
"292","221.02",19667017.2917023
"293","225",50007695.4570923
"294","294.03",42659157.1755371
"295","293.07",25917841.6152039
"296","293.06",41663233.724472
"297","289.02",27509800.6426697
"298","289.01",22197920.0593414
"299","288.02",29183875.018631
"300","288.01",30478333.5219421
"301","56",56012616.8003845
"302","54",49729063.6348877
"303","53.02",19873089.1132812
"304","53.01",35054769.1071777
"305","52",5849662.38983154
"306","51",11304817.1403809
"307","50",9490144.20568848
"308","49",8151938.90270996
"309","48",11959656.0491333
"310","47",14639408.1122131
"311","226.03",24798650.8731689
"312","226.04",31314319.6107788
"313","243",31806902.7803955
"314","244",145690922.668732
"315","245",24633732.7190552
"316","287",64721213.4032898
"317","286",28797711.7938232
"318","285",89930161.8294373
"319","284.03",37780075.3445587
"320","284.02",22811338.6773987
"321","283",89603086.8234253
"322","46",89986629.5123291
"323","45",27829375.9170227
"324","44",7222142.3458252
"325","42",10654596.0160828
"326","41",26520753.5547485
"327","40",96033007.8748779
"328","39",69840086.9115906
"329","38",10481336.5055237
"330","257.01",6722793.18884277
"331","228.02",40695446.6047974
"332","323.09",28603103.48703
"333","323.25",66344066.5615234
"334","282",23818373.0340271
"335","281",28937449.9782257
"336","280",17521370.8853302
"337","279",22543508.1348877
"338","278",37799187.6642609
"339","277.02",39527933.9351807
"340","59",806485999.563217
"341","58.02",21311925.5193481
"342","36",45726841.9394531
"343","35",12877761.1931763
"344","34",13828235.4926453
"345","33",8472326.58575439
"346","32",13953168.9971619
"347","31",37561533.7893372
"348","254",29043214.2527771
"349","255",24766042.9468994
"350","257.02",16410612.1296997
"351","323.16",30708671.7732086
"352","323.18",95572586.091156
