"","hhid","hh_income_detailed","h_tract","lifecycle","personid","education","resptype","work_loc_tract","transitpay_upass","transitpay_access","transitpay_school","transit_subsidy","h_tract1"
"1",14100001,6,53033006700,4,1410000101,7,1,53033001200,-99,-99,-99,-99,67
"2",14100002,5,53033006700,8,1410000201,7,1,53033006700,-99,-99,-99,-99,67
"3",14100003,5,53033007000,4,1410000301,6,1,53033007300,-99,-99,-99,-99,70
"4",14100006,4,53033007200,6,1410000601,7,1,53033007300,-99,-99,-99,-99,72
"5",14100007,3,53033007300,3,1410000701,6,1,53033008100,-99,-99,-99,-99,73
"6",14100008,1,53033007300,4,1410000801,2,1,53033010001,-99,-99,-99,-99,73
"7",14100010,7,53033007401,6,1410001001,6,1,53033008100,-99,-99,-99,-99,74.01
"8",14100011,5,53033007401,3,1410001101,6,1,53033007100,-99,-99,-99,-99,74.01
"9",14100013,5,53033007402,4,1410001301,7,1,53033005302,-99,-99,-99,-99,74.02
"10",14100015,7,53033007402,4,1410001501,7,1,53033008100,-99,-99,-99,-99,74.02
"11",14100016,5,53033007500,4,1410001601,7,1,53033006600,-99,-99,-99,-99,75
"12",14100017,7,53033007500,6,1410001701,7,1,53033008500,-99,-99,-99,-99,75
"13",14100018,4,53033007500,2,1410001801,7,1,53033009300,-99,-99,-99,-99,75
"14",14100021,7,53033008001,6,1410002101,7,1,53033008200,-99,-99,-99,-99,80.01
"15",14100022,5,53033008001,3,1410002201,7,1,53033005200,-99,-99,-99,-99,80.01
"16",14100023,98,53033008001,6,1410002301,7,1,53033008500,-99,-99,-99,-99,80.01
"17",14100024,6,53033008002,6,1410002401,7,1,53033007200,-99,-99,-99,-99,80.02
"18",14100025,4,53033008002,3,1410002501,6,1,53033005302,-99,-99,-99,-99,80.02
"19",14100026,6,53033008100,4,1410002601,7,1,53033008200,-99,-99,-99,-99,81
"20",14100027,8,53033008100,4,1410002701,7,1,53033007300,-99,-99,-99,-99,81
"21",14100029,5,53033008100,4,1410002901,6,1,53033032208,-99,-99,-99,-99,81
"22",14100032,5,53033008300,4,1410003201,6,1,53033005301,-99,-99,-99,-99,83
"23",14100035,9,53033008400,6,1410003502,6,2,53033022803,-99,-99,-99,-99,84
"24",14100037,3,53033008400,3,1410003701,5,1,53033032313,-99,-99,-99,-99,84
"25",14100038,3,53033007402,3,1410003801,6,1,53033011402,-99,-99,-99,-99,74.02
"26",14100039,7,53061040400,7,1410003901,3,1,53061053509,-99,-99,-99,-99,404
"27",14100042,6,53061041703,2,1410004201,6,1,53061041901,-99,-99,-99,-99,417.03
"28",14100043,5,53061041806,4,1410004301,6,1,53033005302,-99,-99,-99,-99,418.06
"29",14100045,5,53061042001,4,1410004501,5,1,53061042006,-99,-99,-99,-99,420.01
"30",14100047,3,53061042004,4,1410004701,6,1,53061041901,-99,-99,-99,-99,420.04
"31",14100048,6,53061042005,7,1410004801,5,1,53033021300,-99,-99,-99,-99,420.05
"32",14100050,7,53061050500,6,1410005001,3,1,53033022003,-99,-99,-99,-99,505
"33",14100051,6,53061041608,2,1410005101,7,1,53061041304,-99,-99,-99,-99,416.08
"34",14100052,5,53061051300,2,1410005201,7,1,53033022803,-99,-99,-99,-99,513
"35",14100054,98,53061051915,1,1410005401,7,1,53061051915,-99,-99,-99,-99,519.15
"36",14100055,8,53061051918,1,1410005501,6,1,53033022603,-99,-99,-99,-99,519.18
"37",14100056,10,53061051918,7,1410005601,7,1,53033005302,-99,-99,-99,-99,519.18
"38",14100057,7,53061051923,1,1410005701,6,1,53033007300,-99,-99,-99,-99,519.23
"39",14100058,98,53061051925,2,1410005802,7,2,53061041304,-99,-99,-99,-99,519.25
"40",14100059,98,53061052004,2,1410005901,6,1,53033023804,-99,-99,-99,-99,520.04
"41",14100060,5,53061052108,7,1410006001,5,1,53061051802,-99,-99,-99,-99,521.08
"42",14100061,7,53061052118,2,1410006101,6,1,53033022701,-99,-99,-99,-99,521.18
"43",14100062,4,53061052904,7,1410006201,7,1,53061040700,-99,-99,-99,-99,529.04
"44",14100063,4,53061052503,2,1410006301,3,1,53061052302,-99,-99,-99,-99,525.03
"45",14100064,6,53061052604,2,1410006401,6,1,53061052209,-99,-99,-99,-99,526.04
"47",14100067,4,53061053507,4,1410006701,6,1,53033009300,-99,-99,-99,-99,535.07
"48",14100068,7,53061052607,2,1410006801,7,1,53061041303,-99,-99,-99,-99,526.07
"49",14100069,98,53061052706,7,1410006901,6,1,53033008200,-99,-99,-99,-99,527.06
"50",14100070,6,53061051922,1,1410007002,6,2,53061040800,-99,-99,-99,-99,519.22
"51",14100071,7,53061052502,7,1410007101,3,1,53061041304,-99,-99,-99,-99,525.02
"53",14100074,7,53061052105,2,1410007401,5,1,53033028801,-99,-99,-99,-99,521.05
"54",14100075,98,53061051925,1,1410007502,6,2,53033021802,-99,-99,-99,-99,519.25
"55",14100076,3,53061051924,1,1410007601,5,1,53033008001,-99,-99,-99,-99,519.24
"56",14100077,7,53061051916,7,1410007701,6,1,53061041903,-99,-99,-99,-99,519.16
"57",14100078,7,53061051912,8,1410007801,7,1,53033021802,-99,-99,-99,-99,519.12
"58",14100079,5,53061051913,7,1410007901,6,1,53033032319,-99,-99,-99,-99,519.13
"59",14100080,7,53061051601,7,1410008001,6,1,53033008100,-99,-99,-99,-99,516.01
"60",14100081,10,53061041701,6,1410008101,6,1,53033004900,-99,-99,-99,-99,417.01
"61",14100082,3,53033008400,3,1410008201,5,1,53033004301,-99,-99,-99,-99,84
"62",14100083,4,53061051914,6,1410008301,6,1,53061051914,-99,-99,-99,-99,519.14
"63",14100084,6,53061050700,7,1410008401,6,1,53061050700,-99,-99,-99,-99,507
"64",14100086,7,53061050102,7,1410008602,6,2,53033022803,-99,-99,-99,-99,501.02
"65",14100088,5,53061041601,7,1410008802,3,2,53061041100,-99,-99,-99,-99,416.01
"66",14100089,5,53061041100,7,1410008902,3,2,53061041901,-99,-99,-99,-99,411
"67",14100092,7,53061040400,2,1410009201,3,1,53061051400,-99,-99,-99,-99,404
"68",14100094,2,53033008400,6,1410009401,6,1,53033004301,-99,-99,-99,-99,84
"69",14100095,2,53033008400,6,1410009501,5,1,53033023000,-99,-99,-99,-99,84
"70",14100097,10,53033008100,4,1410009701,7,1,53033008100,-99,-99,-99,-99,81
"71",14100098,6,53033007300,3,1410009801,6,1,53033009300,-99,-99,-99,-99,73
"72",14100100,2,53033008001,4,1410010001,4,1,53033009300,-99,-99,-99,-99,80.01
"73",14100101,9,53033008001,6,1410010101,6,1,53033007300,-99,-99,-99,-99,80.01
"74",14100102,8,53033007900,7,1410010201,7,1,53033008500,-99,-99,-99,-99,79
"75",14100103,6,53033007900,3,1410010301,6,1,53033008002,-99,-99,-99,-99,79
"76",14100104,5,53033007500,7,1410010402,4,2,53033023700,-99,-99,-99,-99,75
"77",14100105,5,53033007500,4,1410010501,3,1,53033008300,-99,-99,-99,-99,75
"78",14100106,7,53033008700,6,1410010601,7,1,53033008400,-99,-99,-99,-99,87
"79",14100107,5,53033007402,4,1410010701,7,1,53033008100,-99,-99,-99,-99,74.02
"80",14100108,98,53033007402,4,1410010801,6,1,53033007300,-99,-99,-99,-99,74.02
"81",14100109,8,53033007401,3,1410010901,6,1,53033022803,-99,-99,-99,-99,74.01
"82",14100111,4,53033007402,4,1410011101,3,1,53033008400,-99,-99,-99,-99,74.02
"83",14100112,4,53033007401,4,1410011201,6,1,53033008500,-99,-99,-99,-99,74.01
"84",14100113,6,53033007300,7,1410011301,6,1,53033008200,-99,-99,-99,-99,73
"85",14100116,6,53033007100,4,1410011601,7,1,53033006800,-99,-99,-99,-99,71
"86",14100117,8,53033007100,6,1410011701,7,1,53033008100,-99,-99,-99,-99,71
"87",14100118,7,53033007100,1,1410011802,7,2,53033022803,-99,-99,-99,-99,71
"88",14100120,8,53033007000,7,1410012001,7,1,53033029801,-99,-99,-99,-99,70
"89",14100122,5,53033007000,3,1410012201,6,1,53033008500,-99,-99,-99,-99,70
"90",14100123,8,53033007200,1,1410012302,7,2,53033007300,-99,-99,-99,-99,72
"91",14100124,8,53053061602,6,1410012401,7,1,53053072903,-99,-99,-99,-99,616.02
