"","dtract","x","y","X","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....Retail.trade"
"1",1,-122.28237582,47.72625423,1,3344,312,275
"2",2,-122.30999616,47.7266402,2,3914,377,694
"3",3,-122.33292293,47.73052448,3,1373,129,205
"4",4.01,-122.35267187,47.72894392,4,2334,351,322
"5",4.02,-122.35236671,47.71685876,5,2382,246,351
"6",5,-122.370668,47.72243979,6,1496,136,92
"7",6,-122.33253152,47.71791701,7,4048,325,414
"8",7,-122.30186319,47.7156892,8,2728,277,345
"9",8,-122.28608222,47.71124944,9,1410,136,193
"10",9,-122.2704967,47.70749035,10,1087,118,90
"11",10,-122.29606479,47.70640682,11,921,121,28
"12",11,-122.30680723,47.7065472,12,1605,207,143
"13",12,-122.32281951,47.70712138,13,3327,364,336
"14",13,-122.34217902,47.70228121,14,2809,247,405
"15",14,-122.36649686,47.70672755,15,3203,255,337
"16",15,-122.39602475,47.69698246,16,1426,113,176
"18",17.01,-122.35448406,47.6963622,18,2805,210,376
"26",25,-122.30227921,47.68389716,26,1829,176,102
"27",26,-122.31192835,47.68274525,27,3078,219,304
"28",27,-122.33112522,47.68686716,28,3303,270,382
"29",28,-122.34992555,47.68512015,29,2824,274,233
"30",29,-122.36064664,47.68508732,30,2547,212,303
"31",30,-122.37404442,47.68509587,31,3394,209,257
"32",31,-122.39641042,47.68695035,32,3699,350,476
"33",32,-122.40122904,47.67500279,33,4840,375,544
"34",33,-122.3768125,47.67597136,34,4164,321,408
"35",34,-122.36174627,47.67406478,35,2174,171,103
"36",35,-122.35208805,47.6725469,36,2404,216,282
"37",36,-122.32420528,47.6771913,37,4088,414,159
"38",38,-122.29552916,47.67940934,38,1243,145,77
"39",39,-122.28234143,47.67941167,39,1584,144,111
"40",40,-122.24739363,47.67975367,40,1485,166,222
"41",41,-122.26267078,47.66011164,41,3894,272,391
"42",42,-122.28410146,47.6702043,42,4571,368,295
"43",43.01,-122.30022222,47.66940201,43,1787,239,199
"44",43.02,-122.303595,47.6647407,44,1706,415,349
"45",44,-122.31193239,47.67034111,45,4070,465,623
"46",45,-122.32291108,47.66858243,46,1864,254,201
"47",46,-122.33776343,47.67402407,47,2085,194,154
"48",47,-122.37594417,47.66576388,48,5166,548,510
"49",48,-122.36063248,47.66043019,49,3310,386,341
"50",49,-122.35115501,47.65683202,50,5040,357,456
"51",50,-122.3418076,47.66086964,51,2464,233,377
"52",51,-122.33224805,47.65851852,52,2230,207,109
"53",52,-122.3230895,47.65896613,53,4584,752,814
"54",53.01,-122.31312154,47.6615051,54,2891,383,543
"55",53.02,-122.30186556,47.65391343,55,1509,388,128
"56",54,-122.33858807,47.64920104,56,3404,267,281
"57",56,-122.40714251,47.64074874,57,3085,248,206
"58",57,-122.41394195,47.66029224,58,3396,321,420
"59",58.01,-122.38559754,47.65520107,59,3374,357,507
"60",58.02,-122.37956098,47.63400723,60,3461,284,337
"61",59,-122.36840048,47.64842451,61,4889,584,289
"62",60,-122.35215219,47.64405591,62,3428,320,358
"63",61,-122.32218374,47.64481031,63,4156,336,346
"64",62,-122.30071861,47.63935779,64,2187,182,175
"65",63,-122.27588539,47.6362046,65,2572,307,219
"66",64,-122.30482586,47.62853983,66,1891,145,220
"67",65,-122.31775781,47.63096364,67,2732,218,156
"68",66,-122.3300052,47.63290875,68,2375,316,163
"69",67,-122.3446638,47.6322261,69,4766,419,684
"70",68,-122.3564653,47.63603068,70,1724,189,217
"71",69,-122.36697148,47.63436302,71,2550,249,259
"72",70,-122.35680622,47.62823286,72,4971,420,655
"73",71,-122.35740201,47.62244425,73,2208,208,318
"74",72,-122.34311766,47.61945409,74,4050,352,638
"75",73,-122.33351634,47.61998841,75,3033,337,371
"76",74.01,-122.32465844,47.62292437,76,3683,283,608
"77",74.02,-122.32441884,47.61876078,77,4049,351,506
"78",75,-122.31688604,47.61839027,78,5223,448,422
"79",76,-122.3075858,47.62186781,79,2524,190,273
"80",77,-122.29735162,47.61912054,80,2787,332,294
"81",78,-122.27902267,47.6135716,81,2989,264,191
"82",79,-122.30767219,47.6143866,82,3544,346,326
"83",80.01,-122.35514123,47.61492657,83,3682,430,180
"84",80.02,-122.34525919,47.61208708,84,1720,254,165
"85",81,-122.33923822,47.60623096,85,2256,356,393
"86",82,-122.33194114,47.61037287,86,2268,377,324
"87",83,-122.32800425,47.61181785,87,1810,188,342
"88",84,-122.32394196,47.61346758,88,2941,280,269
"89",85,-122.3249464,47.60511254,89,1142,181,83
"90",86,-122.31668926,47.60710166,90,2522,314,310
"91",87,-122.30779097,47.60592367,91,2646,338,269
"92",88,-122.29763238,47.6073301,92,2306,269,180
"93",89,-122.28459927,47.59639733,93,2405,324,260
"94",90,-122.30909765,47.59826419,94,1587,217,281
"95",91,-122.32175438,47.59842321,95,1139,201,148
"96",92,-122.33432141,47.60052013,96,1140,177,88
"97",93,-122.33097314,47.57642781,97,1308,171,91
"98",94,-122.3098672,47.58819261,98,3351,395,349
"99",95,-122.28308001,47.58197536,99,3017,332,171
"100",96,-122.38791914,47.58937788,100,2803,304,217
"101",97.01,-122.41055826,47.57333678,101,3500,317,272
"102",97.02,-122.39601044,47.57192766,102,2931,254,203
"103",98,-122.38309405,47.5719551,103,3761,253,509
"104",99,-122.36087169,47.57488815,104,2989,253,251
"105",100.01,-122.30502785,47.56799333,105,1932,266,63
"106",100.02,-122.30957277,47.57657903,106,2611,387,244
"107",101,-122.27547492,47.56683441,107,3068,308,231
"108",102,-122.25924435,47.55379972,108,2477,158,201
"109",103,-122.28263914,47.5541365,109,2963,352,302
"110",104.01,-122.29563789,47.55320415,110,2346,429,105
"111",104.02,-122.31022576,47.55378777,111,2642,370,198
"112",105,-122.38554942,47.55744064,112,3429,336,470
"113",106,-122.39219789,47.54808388,113,4610,352,478
"114",107.01,-122.366043,47.54289384,114,1575,272,313
"115",107.02,-122.37303021,47.54680438,115,1575,182,191
