Tract,Average of amount,Average of SqFt,,
100,928838.8649,2062.736842,,This is from the get deep search results API which yeilds different zeastimates than the get search results api
200,631115.7059,1726.833333,,
300,551571,1438.885714,,
401,607985.8919,1818.236842,,
402,634155.2432,1598.190476,,
500,1033183.359,2540.128205,,
600,598317.2353,1394.347826,,
700,616668.3404,1387.04,,
800,672273.1892,1684.432432,,
900,1137953.111,2321.054054,,
1000,660670.2432,1487.184211,,
1100,713306.2,1822.4,,
1200,646295.4103,1751.902439,,
1300,600968.2051,1434.384615,,
1400,687171.225,1604.560976,,
1500,950311.1272,2194.851528,,
1600,983345.8636,2222.069767,,
1701,673495.7254,1353.955307,,
1702,682304.2368,1527.842105,,
1800,705547.7778,1628.404255,,
1900,739636.55,1627.023256,,
2000,743745.2778,1721.108108,,
2100,784399.7429,1722.25,,
2200,1089049.075,2379,,
2400,819208.2286,1727.257143,,
2500,797148.7805,1624.146341,,
2600,856008.5,1887.941176,,
2700,909774.8235,1880.058824,,
2800,916325.3448,1863.448276,,
2900,822510.25,1655.051282,,
3000,822617.4474,1570.125,,
3100,869813,1693.763158,,
3200,929633.2432,1839.410256,,
3300,840018.0476,1649.186047,,
3400,804190,1595.607143,,
3500,981402.9444,1996.638889,,
3600,966840.8095,2590.802198,,
3800,842837.7442,1898.232558,,
3900,954404.5263,2035.157895,,
4000,1432835.969,2719.125,,
4100,1937836.5,3051.555556,,
4200,1028939.41,2309.25,,
4301,892221.6857,1713.611111,,
4302,1286321.603,3173.815029,,
4400,911216.322,1577.396552,,
4500,918090.1622,1930.945946,,
4600,1030303.057,1988.888889,,
4700,748035.8673,1206.540984,,
4800,928887.2571,1796.285714,,
4900,854061.2576,1538.407895,,
5000,879115.386,973.7560976,,
5100,1050885.326,1885.844444,,
5200,964516.3288,1548.979798,,
5301,924184.0147,1203.797297,,
5302,345746,8351,,
5400,962562.6168,1596.216216,,
5600,1237353.2,2476,,
5700,1025337.553,2181.102564,,
5801,866166.0333,1601.352941,,
5802,1043461.667,1831.905882,,
