TRACT,Zeastimate
000100,773757.6667
000200,617028.1212
000300,561621.4
000401,582114.5556
000402,626601.5135
000500,1027297.051
000600,599663.3824
000700,588853.5778
000800,667933.9211
000900,955797
001000,659347.3333
001100,713719.6
001200,645815.1282
001300,594070.2368
001400,680813.7073
001500,916278.6897
001701,640117.2391
002500,790357.1463
002600,835216.3143
002700,901900.6857
002800,902397.8065
002900,845094.3235
003000,822669.6579
003100,868350.5135
003200,917277.6316
003300,833880.9524
003400,829589.24
003500,964392.6571
003600,965884.8
003800,839087.2857
003900,943227.6923
004000,1403873.455
004100,1868376.947
004200,1006584.78
004301,908641.0909
004302,1221421.851
004400,920660.9667
004500,915379.4865
004600,1028144
004700,704341.1143
004800,929502.9459
004900,863561.8358
005000,877980.3846
005100,1042519.568
005200,964746.4286
005301,928581.3871
005302,891073.6667
005400,904188.6212
005600,1268810.025
005700,1001024.73
005801,849748.6774
005802,1054012.38
005900,993243.375
006000,999405.602
006100,1302499.531
006200,1074471.274
006300,2462781.568
006400,1391221.657
006500,1150251.526
006600,972628.0189
006700,900995.6538
006800,1300890.946
006900,1529713.288
007000,1014590.348
007100,578006.63
007200,970862.1364
007300,938024.6032
007401,725444.0068
007402,670599.19
007500,786994.7685
007600,969638.1538
007700,853655.1463
007800,1408305.541
007900,807566.4146
008001,766529.6928
008002,1965683.415
008100,1609859.607
008200,19470320.35
008300,538522.35
008400,1335720.91
008500,654161.0204
008600,782131.9655
008700,779007.1
008800,855985.8108
008900,897215.2222
009000,694685.1096
009100,461756.675
009200,703001.7407
009300,638641.5351
009400,670209.675
009500,982567.275
009600,1164727.029
009701,945214.5385
009702,748591.5789
009800,785423.6486
009900,625602.7632
010001,687769.6333
010002,672551.7568
010100,761074.7647
010200,818975.9231
010300,645310.2647
010401,641869.1081
010402,566794.8
010500,639616.7561
010600,727416.8529
010701,532312.1667
010702,486594.3256
010800,507465.6316
010900,505409.6585
011001,533824.3846
011002,525838.7164
011101,526306.2222
011102,922569.3774
011200,391110.3939
011300,482145.9487
011401,515779.1463
011402,432566.6522
011500,543693.7955
011600,747958.6486
011700,460730.5405
